x,Q2 (GeV^2),rate (Hz),A_clean,A_noisy,A_simplified,dA_stat,dA_sys_uncor,dA_sys_cor,d/u noisy,d/u clean,d/u PDF,d/u simplified,d/u shifted by 1 sig sys cor,d(d/u) from A_stat,d(d/u) from A_sys_uncor,d(d/u) from A_sys_cor,d(d/u) from sin^2(theta_w),d(d/u) from model
0.735,21.95,1.382,-0.0011717,-0.00121277,-0.0011715,0.00035888,3.31407e-06,5.24e-06,0.229335,0.161059,0.160733,0.160733,0.2205,0.586955,0.00542022,0.00883518,0.0153904,-0.000325437
0.735,22.05,2.819,-0.00117752,-0.00116984,-0.00117733,0.000251279,3.33054e-06,5.26605e-06,0.148574,0.161047,0.160724,0.160724,0.14007,0.409032,0.00542147,0.00850331,0.0154197,-0.000323691
0.735,22.15,1.1031,-0.00118335,-0.000928007,-0.00118315,0.000401694,3.34702e-06,5.2921e-06,-0.215249,0.161036,0.160714,0.160714,-0.222329,0.650808,0.0054227,0.00708018,0.0154487,-0.000321961
0.735,22.25,1.4673,-0.00118917,-0.00135828,-0.00118898,0.000348292,3.36349e-06,5.31815e-06,0.452848,0.161025,0.160705,0.160705,0.443048,0.561651,0.00542392,0.00979945,0.0154774,-0.000320247
0.735,22.35,1.7049,-0.001195,-0.00161411,-0.0011948,0.000323112,3.37997e-06,5.3442e-06,0.963453,0.161014,0.160696,0.160696,0.951277,0.518622,0.00542513,0.0121754,0.0155059,-0.000318549
0.735,22.45,1.4818,-0.00120082,-0.000782923,-0.00120063,0.000346584,3.39644e-06,5.37025e-06,-0.41434,0.161003,0.160686,0.160686,-0.4207,0.553719,0.00542633,0.00635985,0.0155341,-0.000316868
0.735,22.55,1.1678,-0.00120665,-0.0018309,-0.00120645,0.000390408,3.41292e-06,5.3963e-06,1.46479,0.160992,0.160677,0.160677,1.45003,0.62086,0.00542751,0.0147621,0.0155621,-0.000315204
0.735,22.65,1.6507,-0.00121247,-0.00140208,-0.00121227,0.000328374,3.42939e-06,5.42234e-06,0.484462,0.160981,0.160668,0.160668,0.474515,0.519812,0.00542868,0.00994785,0.0155897,-0.000313556
0.735,22.75,0.9975,-0.0012183,-0.00138531,-0.0012181,0.000422422,3.44586e-06,5.44839e-06,0.441914,0.160971,0.160659,0.160659,0.432152,0.665635,0.00542984,0.00976232,0.0156171,-0.000311925
0.735,22.85,0.9844,-0.00122412,-0.000442066,-0.00122392,0.000425223,3.46233e-06,5.47443e-06,-0.786451,0.16096,0.16065,0.16065,-0.791565,0.667003,0.00543099,0.00511376,0.0156442,-0.000310312
0.735,22.95,1.4858,-0.00122994,-0.000674077,-0.00122974,0.000346117,3.4788e-06,5.50047e-06,-0.55722,0.160949,0.160641,0.160641,-0.56309,0.54046,0.00543213,0.00586993,0.015671,-0.000308715
0.735,23.05,2.0741,-0.00123576,-0.00107406,-0.00123557,0.000292946,3.49527e-06,5.5265e-06,-0.0761043,0.160939,0.160632,0.160632,-0.0837292,0.455373,0.00543325,0.00762496,0.0156975,-0.000307137
0.735,23.15,1.7566,-0.00124158,-0.00167223,-0.00124139,0.000318322,3.51173e-06,5.55253e-06,0.954438,0.160928,0.160623,0.160623,0.942285,0.4926,0.00543436,0.0121524,0.0157238,-0.000305575
